indType,namCategory,namCity,idtCity,namDistrict,namState,namStreet,namSubCategory,Area,Total_area,Bedrooms,Bathrooms,Garages,totalGarages,totalRooms,valSales,idtProperty
S,Casas,São Carlos,1,Vila Boa Vista,São Paulo,Rua Natalino Mastro Francisco,Comercial,230.0,262.5,2.0,3.0,2.0,2.0,3.0,380000,63919
S,Casas,São Carlos,1,Parque dos Flamboyant,São Paulo,Rua RUA REINALDO MASSUCIO,Padrão,98.99,160.0,2.0,1.0,2.0,2.0,2.0,487000,63918
S,Casas,São Carlos,1,Parque Santa Mônica,São Paulo,Rua Urano Martins,Sobrado,288.69,566.5,4.0,3.0,4.0,4.0,6.0,980000,63916
S,Casas,São Carlos,1,Jardim Nova Santa Paula,São Paulo,AV. LIBERDADE,Padrão,300.0,300.0,4.0,2.0,4.0,4.0,5.0,639000,63901
S,Casas,São Carlos,1,Parque Faber Castell,São Paulo,Passeio das Magnólias,Condomínio,172.0,312.5,3.0,3.0,4.0,4.0,6.0,1415000,63900
S,Casas,São Carlos,1,Jardim Paulista,São Paulo,Rua Floriano Peixoto,Comercial,1180.0,1180.0,2.0,1.0,0.0,0.0,2.0,532000,63898
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua Noêmia Sampaio de Souza,Condomínio,183.32,183.32,3.0,1.0,2.0,2.0,3.0,720000,63897
S,Casas,São Carlos,1,Jardim Acapulco,São Paulo,Rua Rosa Lea Ferrari Lisboa,Padrão,216.0,300.0,4.0,3.0,2.0,2.0,5.0,850000,63894
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Antônio Prata Vieira,Padrão,55.56,125.0,2.0,1.0,2.0,2.0,2.0,190000,63890
S,Casas,São Carlos,1,VILLAGE DAMHA IV,São Paulo,Avenida Brasilino Damha,Condomínio,166.0,294.96,3.0,3.0,2.0,2.0,5.0,1200000,63887
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,201.0,417.99,3.0,4.0,2.0,2.0,6.0,1750000,63885
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,400.0,974.0,4.0,4.0,4.0,4.0,5.0,2500000,63881
S,Casas,São Carlos,1,SÃO JOÃO BATISTA,São Paulo,RUA JOAQUIM DA CRUZ PENALVA,Padrão,335.89,548.6,4.0,2.0,3.0,3.0,5.0,800000,63867
S,Casas,São Carlos,1,Parque Faber Castell,São Paulo,Passeio das Palmeiras,Sobrado,303.03,463.09,4.0,4.0,4.0,4.0,8.0,2100001,63860
S,Casas,São Carlos,1,Loteamento Municipal São Carlos 3,São Paulo,Rua Danilo Mic'Alli,Condomínio,80.0,197.0,3.0,3.0,2.0,2.0,5.0,639000,63858
S,Casas,São Carlos,1,VILLAGE DAMHA IV,São Paulo,Avenida Brasilino Damha,Condomínio,210.0,360.0,3.0,5.0,2.0,2.0,6.0,639000,63856
S,Casas,São Carlos,1,Jardim Munique,São Paulo,Rua Manoel Martins,Sobrado,330.0,250.0,4.0,3.0,3.0,3.0,6.0,430000,63855
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Luiz Carlos Caromano,Padrão,192.0,250.0,3.0,2.0,4.0,4.0,4.0,197000,63848
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Ricardo Ninelli,Padrão,192.0,250.0,3.0,2.0,4.0,4.0,4.0,362000,63842
S,Casas,São Carlos,1,Jardim das Torres Prolongamento,São Paulo,Rua Manoel Rabello,Padrão,178.0,250.0,3.0,2.0,4.0,4.0,3.0,539000,63823
S,Casas,São Carlos,1,Jardim Hikari,São Paulo,Rua Imperador Hiroito,Padrão,138.53,250.0,3.0,2.0,2.0,2.0,4.0,685000,63820
S,Casas,São Carlos,1,Jardim Macarengo,São Paulo,Rua Tiradentes,Padrão,185.41,220.0,2.0,1.0,2.0,2.0,2.0,350000,63816
S,Casas,São Carlos,1,Jardim São Carlos,São Paulo,AV. COMENDADOR ALFREDO MAFFEI,Padrão,150.0,151.47,3.0,2.0,1.0,1.0,3.0,380000,63810
S,Casas,São Carlos,1,Jardim Tangará,São Paulo,Rua Antônio Micucci,Padrão,125.0,150.0,2.0,1.0,1.0,1.0,2.0,243800,63797
S,Casas,São Carlos,1,Vila Marcelino,São Paulo,RUA VICENTE DE CARVALHO,Padrão,100.83,140.0,3.0,2.0,2.0,2.0,3.0,380000,63783
S,Casas,São Carlos,1,Jardim Paraíso,São Paulo,Rua Doutor Serafim Vieira de Almeida,Padrão,406.0,645.0,5.0,6.0,4.0,4.0,8.0,1300000,63781
S,Casas,São Carlos,1,CENTRO,São Paulo,RUA MAJOR JOSÉ INÁCIO,Padrão,251.0,404.25,3.0,2.0,2.0,2.0,4.0,900000,63776
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,272.0,492.5,3.0,3.0,2.0,2.0,6.0,1920000,63770
S,Casas,São Carlos,1,Parque Sisi,São Paulo,Rua Jean Piaget,Condomínio,205.57,250.0,3.0,2.0,2.0,2.0,4.0,1250000,63763
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,AV. BRUNO RUGGIERO FILHO,Sobrado,150.0,200.0,3.0,2.0,2.0,2.0,3.0,550000,63759
S,Casas,São Carlos,1,VILA MONTEIRO,São Paulo,RUA ANTÔNIO RODRIGUES CAJADO,Padrão,151.88,202.5,2.0,2.0,2.0,2.0,3.0,320000,63752
S,Casas,São Carlos,1,Parque Faber Castell,São Paulo,OUT DAS GOIABEIRAS,Condomínio,359.0,400.0,3.0,3.0,4.0,4.0,6.0,1756000,63750
S,Casas,São Carlos,1,Jardim Tangará,São Paulo,Rua Victório Bonucci,Padrão,54.11,125.0,2.0,1.0,1.0,1.0,2.0,230000,63743
S,Casas,São Carlos,1,Residencial Eldorado,São Paulo,Rua Miguel Petroni,Condomínio,168.0,312.0,3.0,2.0,2.0,2.0,4.0,850000,63741
S,Casas,São Carlos,1,Condomínio Residencial Quebec,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Condomínio,212.0,308.0,3.0,3.0,4.0,4.0,5.0,1120000,63734
S,Casas,São Carlos,1,Vila Costa do Sol,São Paulo,RUA ESTADOS UNIDOS,Padrão,126.0,396.0,2.0,1.0,1.0,1.0,2.0,420000,63731
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,82.0,165.0,3.0,2.0,2.0,2.0,4.0,330000,63730
S,Casas,São Carlos,1,Centreville,São Paulo,Rua Antônio Rodrigues Cajado,Padrão,80.0,261.0,2.0,1.0,1.0,1.0,2.0,280000,63723
S,Casas,São Carlos,1,Vila Morumbi,São Paulo,Rua Doutor Alderico Vieira Perdigão,Padrão,118.93,160.0,3.0,2.0,1.0,1.0,3.0,330000,63718
S,Casas,São Carlos,1,Vila Brasília,São Paulo,Rua Panamá,Padrão,142.0,199.0,3.0,2.0,2.0,2.0,3.0,362000,63711
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua Nossa Senhora Auxiliadora,Padrão,140.0,360.0,3.0,2.0,2.0,2.0,4.0,480000,63710
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Giuseppe Broggio,Padrão,55.56,100.0,2.0,1.0,2.0,2.0,2.0,200000,63705
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,442.5,442.5,3.0,2.0,2.0,2.0,4.0,1600000,63703
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Antônio Frederico Ozanan,Sobrado,139.33,128.0,3.0,3.0,2.0,2.0,5.0,400000,63693
S,Casas,São Carlos,1,Jardim Bandeirantes,São Paulo,RUA ABRAHÃO JOÃO,Condomínio,178.89,406.33,3.0,2.0,2.0,2.0,4.0,700000,63690
S,Casas,São Carlos,1,Jardim Cardinalli,São Paulo,Rua José Cerri,Sobrado,182.0,306.0,3.0,2.0,5.0,5.0,4.0,580000,63687
S,Casas,São Carlos,1,Jardim Dona Francisca,São Paulo,Rua Luiz Fernandes Musetti,Sobrado,197.0,125.0,3.0,2.0,2.0,2.0,4.0,400000,63682
S,Casas,São Carlos,1,Jardim Bicão,São Paulo,RUA ÂNGELO PROVINCIALI,Padrão,130.0,150.0,2.0,1.0,2.0,2.0,2.0,350000,63676
S,Casas,São Carlos,1,Jardim Beatriz,São Paulo,Rua Professor José Geraldo Keppe,Padrão,120.0,125.0,3.0,2.0,2.0,2.0,4.0,260000,63673
S,Casas,São Carlos,1,VILA MONTEIRO,São Paulo,Rua São Paulo,Padrão,250.0,250.0,3.0,1.0,3.0,3.0,3.0,350000,63672
S,Casas,São Carlos,1,Vila Brasília,São Paulo,Rua Bolívia,Padrão,177.0,140.0,4.0,2.0,2.0,2.0,5.0,380000,63664
S,Casas,São Carlos,1,Jardim Beatriz,São Paulo,RUA PROFESSORA ELYDIA BENETTI,Padrão,131.48,500.0,2.0,1.0,2.0,2.0,2.0,370000,63649
S,Casas,São Carlos,1,Residencial Américo Alves Margarido,São Paulo,Rua Josephina Barbieri Cardinali,Padrão,138.6,189.62,2.0,2.0,2.0,2.0,3.0,360000,63648
S,Casas,São Carlos,1,Vila Elizabeth,São Paulo,Rua Fritz Johansen,Padrão,320.0,632.62,4.0,4.0,4.0,4.0,6.0,1000000,63647
S,Casas,São Carlos,1,Vila Prado,São Paulo,Rua Antônio de Almeida Leite,Padrão,176.0,310.0,3.0,3.0,8.0,8.0,4.0,560000,63644
S,Casas,São Carlos,1,SÃO JOÃO BATISTA,São Paulo,Rua Rafael de Senzi,Padrão,103.48,155.25,2.0,2.0,1.0,1.0,3.0,270000,63639
SL,Casas,São Carlos,1,Parque Faber Castell,São Paulo,OUT DAS GOIABEIRAS,Condomínio,237.05,400.0,3.0,6.0,4.0,4.0,6.0,1390000,63636
S,Casas,São Carlos,1,Recreio São Judas Tadeu,São Paulo,AV. GREGÓRIO AVERSA,Condomínio,125.0,125.0,2.0,1.0,2.0,2.0,2.0,270000,63635
S,Casas,São Carlos,1,Jardim Brasil,São Paulo,Rua Eugênio Franco de Camargo,Padrão,184.0,300.0,3.0,2.0,2.0,2.0,4.0,550001,63627
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Rua Basílio Dibbo,Padrão,160.0,250.0,2.0,2.0,3.0,3.0,2.0,460000,63626
S,Casas,São Carlos,1,RESIDENCIAL ITATIAIA,São Paulo,Rua Detino Pereira dos Santos,Padrão,43.01,150.03,3.0,2.0,2.0,2.0,4.0,220001,63625
S,Casas,São Carlos,1,Vila Prado,São Paulo,RUA DOUTOR BERNARDINO DE CAMPOS,Padrão,102.27,106.12,2.0,1.0,2.0,2.0,2.0,175000,63587
S,Casas,São Carlos,1,Parque Paraíso,São Paulo,Rua Sebastião Sampaio Osório,Padrão,110.0,130.0,2.0,1.0,2.0,2.0,2.0,276000,63581
S,Casas,São Carlos,1,Jardim dos Coqueiros,São Paulo,Rua Rosa Antonia Octaviane Néo,Padrão,64.96,125.0,2.0,1.0,1.0,1.0,2.0,215000,63577
S,Casas,São Carlos,1,Vila Costa do Sol,São Paulo,Rua Rui Barbosa,Padrão,115.5,305.0,2.0,1.0,1.0,1.0,2.0,298000,63559
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Ricardo Ninelli,Padrão,71.45,250.0,1.0,1.0,10.0,10.0,1.0,203000,63555
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,275.0,470.0,3.0,4.0,5.0,5.0,6.0,1660000,63554
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Ricardo Ninelli,Padrão,141.2,250.0,3.0,2.0,2.0,2.0,4.0,213000,63549
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Rua Alberto Martins,Padrão,136.25,165.0,3.0,1.0,2.0,2.0,3.0,215000,63547
S,Casas,São Carlos,1,Vila Costa do Sol,São Paulo,Rua Presidente Vargas,Padrão,160.0,252.84,3.0,2.0,2.0,2.0,4.0,360000,63545
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Rua Nações Unidas,Padrão,208.6,620.0,3.0,2.0,6.0,6.0,3.0,460000,63539
S,Casas,São Carlos,1,Jardim Nova São Carlos,São Paulo,Rua Francisco Monaretti,Padrão,170.0,300.0,2.0,3.0,2.0,2.0,3.0,559000,63531
S,Casas,São Carlos,1,Loteamento Habitacional São Carlos 1,São Paulo,RUA DOUTOR PROCÓPIO TOLEDO MALTA,Padrão,89.8,131.7,2.0,1.0,4.0,4.0,2.0,150000,63513
S,Casas,São Carlos,1,Parque Belvedere,São Paulo,RUA TADAO KAMICADO,Padrão,284.29,684.58,3.0,3.0,2.0,2.0,4.0,1200000,63508
S,Casas,São Carlos,1,Parque Faber Castell,São Paulo,Passeio das Magnólias,Sobrado,330.0,351.0,3.0,4.0,4.0,4.0,5.0,1705001,63482
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,Rua Marcus Vinícius de Mello Moraes,Sobrado,159.87,150.0,4.0,3.0,2.0,2.0,6.0,450000,63481
S,Casas,São Carlos,1,DOURADINHO,São Paulo,TVS ORQUÍDEA REIS ORTEGA,Padrão,83.4,135.58,2.0,1.0,2.0,2.0,2.0,270000,63480
S,Casas,São Carlos,1,Portal do Sol,São Paulo,Rua Professor Hério Palo,Padrão,156.0,180.0,3.0,2.0,2.0,2.0,4.0,495000,63472
S,Casas,São Carlos,1,Azulville 2,São Paulo,Rua Antônio Mascaro,Padrão,133.97,349.45,2.0,2.0,1.0,1.0,3.0,400000,63461
S,Casas,São Carlos,1,Vila Rancho Velho,São Paulo,Rua Josué Marques Martins,Padrão,122.11,197.4,2.0,1.0,2.0,2.0,2.0,270000,63451
S,Casas,São Carlos,1,Residencial Deputado José Zavaglia,São Paulo,Rua Elza de Santis,Padrão,150.0,200.0,2.0,1.0,2.0,2.0,2.0,245000,63432
S,Casas,São Carlos,1,Parque Sabará,São Paulo,Rua Doutor Marino Costa Terra,Sobrado,72.0,100.0,2.0,1.0,1.0,1.0,2.0,300000,63428
S,Casas,São Carlos,1,Vila Boa Vista,São Paulo,Rua Doutor Gastão de Sá,Padrão,80.0,210.0,1.0,1.0,2.0,2.0,1.0,320000,63408
S,Casas,São Carlos,1,Jardim Araucária,São Paulo,Rua Benedito Aparecido dos Santos,Padrão,42.0,150.0,2.0,1.0,2.0,2.0,2.0,192000,63406
S,Casas,São Carlos,1,Jardim Tangará,São Paulo,Rua Victório Bonucci,Condomínio,55.36,143.68,2.0,1.0,2.0,2.0,2.0,342000,63379
S,Casas,São Carlos,1,Vila Brasília,São Paulo,Rua Eugênio de Andrade Egas,Padrão,106.78,148.05,3.0,3.0,2.0,2.0,4.0,350000,63378
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Rua Syllas da Silva Rosa,Padrão,180.0,258.0,1.0,2.0,4.0,4.0,1.0,390000,63370
S,Casas,São Carlos,1,Vila Morumbi,São Paulo,Rua Doutor Alderico Vieira Perdigão,Padrão,130.0,150.0,3.0,1.0,1.0,1.0,3.0,212000,63369
S,Casas,São Carlos,1,CENTRO,São Paulo,Rua Rafael de Abreu Sampaio Vidal,Padrão,140.0,180.0,2.0,1.0,1.0,1.0,2.0,350000,63359
S,Casas,São Carlos,1,Jardim Paulista,São Paulo,Rua Coriolano José Gibertoni,Sobrado,157.0,125.0,2.0,2.0,2.0,2.0,2.0,460001,63353
SL,Casas,São Carlos,1,Jardim Tangará,São Paulo,Rua Victório Bonucci,Condomínio,55.36,143.68,2.0,2.0,2.0,2.0,3.0,370000,63352
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Martim Luther King,Padrão,80.0,183.0,1.0,1.0,2.0,2.0,1.0,250000,63349
S,Casas,São Carlos,1,VILA MONTEIRO,São Paulo,Rua Belarmino Indalécio de Souza,Padrão,396.0,189.81,3.0,2.0,2.0,2.0,3.0,600001,63336
S,Casas,São Carlos,1,Jardim das Torres,São Paulo,RUA DOUTOR SIZENANDO DE TOLEDO PORTO,Padrão,171.98,250.0,3.0,2.0,2.0,2.0,4.0,498001,63315
SL,Casas,São Carlos,1,Cidade Jardim,São Paulo,Alameda das Azaleias,Padrão,302.62,720.0,4.0,3.0,2.0,2.0,4.0,852000,63279
S,Casas,São Carlos,1,Vila Marcelino,São Paulo,RUA RAIMUNDO CORREA,Padrão,180.0,390.0,2.0,1.0,1.0,1.0,2.0,500000,63275
S,Casas,São Carlos,1,Jardim São Carlos,São Paulo,RUA JESUÍNO DE ARRUDA,Padrão,99.6,116.4,2.0,1.0,1.0,1.0,2.0,260000,63271
S,Casas,São Carlos,1,Condomínio Residencial Quebec,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Condomínio,200.0,330.0,3.0,3.0,2.0,2.0,5.0,1490000,63268
S,Casas,São Carlos,1,Parque Fehr,São Paulo,Rua Homero de Oliveira,Padrão,128.49,250.0,3.0,2.0,6.0,6.0,4.0,638000,63256
S,Casas,São Carlos,1,Jardim Ricetti,São Paulo,RUA MAJOR MANOEL ANTÔNIO DE MATTOS,Padrão,70.0,250.0,2.0,1.0,2.0,2.0,2.0,213000,63234
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Rua Brasiliano Bento,Padrão,250.0,250.0,2.0,1.0,4.0,4.0,2.0,270000,63232
S,Casas,São Carlos,1,Jardim Hikari,São Paulo,Rua Imperador Hiroito,Padrão,250.0,306.25,4.0,2.0,6.0,6.0,5.0,734001,63230
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Rua Mauro Dias Correia,Padrão,210.45,312.5,3.0,3.0,4.0,4.0,4.0,680000,63224
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,Rua Emílio Mário Ribas,Sobrado,150.0,150.0,3.0,3.0,2.0,2.0,4.0,420000,63216
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,Rua Vereador Lucas Perroni Júnior,Padrão,159.0,260.0,3.0,2.0,2.0,2.0,4.0,595000,63182
S,Casas,São Carlos,1,Vila Monteiro (Gleba I),São Paulo,Rua Rafael de Abreu Sampaio Vidal,Padrão,273.66,617.46,4.0,3.0,4.0,4.0,5.0,1200000,63154
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Giuseppe Broggio,Padrão,230.0,250.0,4.0,3.0,4.0,4.0,4.0,400000,63144
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,RUA HUGO DE CARLI,Padrão,120.93,250.0,2.0,5.0,4.0,4.0,4.0,570000,63142
S,Casas,São Carlos,1,Parque Sisi,São Paulo,Rua Jean Piaget,Condomínio,240.0,374.0,3.0,2.0,6.0,6.0,4.0,1920001,63141
S,Casas,São Carlos,1,MARIA STELLA FAGA,São Paulo,RUA ANGELINO FARALLI,Padrão,118.93,205.0,3.0,1.0,2.0,2.0,3.0,350001,63140
S,Casas,São Carlos,1,Loteamento Residencial Eduardo Abdelnur,São Paulo,Rua Laire Manfio,Padrão,46.0,160.0,2.0,1.0,2.0,2.0,2.0,180000,63138
S,Casas,São Carlos,1,Cidade Jardim,São Paulo,Alameda das Azaleias,Padrão,104.32,180.0,3.0,2.0,2.0,2.0,4.0,480000,63127
S,Casas,São Carlos,1,Jardim Munique,São Paulo,Rua Oswaldo Denari,Padrão,60.0,250.0,2.0,2.0,4.0,4.0,2.0,419000,63124
S,Casas,São Carlos,1,Jardim Tangará,São Paulo,Rua Victório Bonucci,Comercial,400.0,411.0,2.0,1.0,2.0,2.0,2.0,1400000,63112
S,Casas,São Carlos,1,Jardim Brasil,São Paulo,Rua Eugênio Franco de Camargo,Padrão,180.0,512.0,4.0,2.0,4.0,4.0,5.0,615000,63111
S,Casas,São Carlos,1,Jardim Araucária,São Paulo,Rua Jaime Cordeiro,Padrão,43.92,175.0,2.0,1.0,2.0,2.0,2.0,215000,63110
S,Casas,São Carlos,1,VILLAGE DAMHA IV,São Paulo,Avenida Brasilino Damha,Sobrado,232.56,275.0,4.0,4.0,6.0,6.0,8.0,1596000,63101
S,Casas,São Carlos,1,Parque Fehr,São Paulo,Avenida João Crnkovic,Padrão,127.14,257.62,3.0,2.0,2.0,2.0,4.0,630000,63085
S,Casas,São Carlos,1,Conjunto Habitacional Santa Angelina,São Paulo,RUA NORBERTO ANTÔNIO CHIAVINI DINUCCI,Padrão,119.17,138.0,3.0,2.0,2.0,2.0,4.0,270000,63081
S,Casas,São Carlos,1,VILA BELA VISTA,São Paulo,RUA JOAQUIM DA ROCHA MEDEIROS,Padrão,250.0,300.0,3.0,2.0,2.0,2.0,4.0,680000,63079
SL,Casas,São Carlos,1,Romeu Santini,São Paulo,RUA PROFESSORA CACILDA MARCONDES COSTA,Padrão,153.0,200.0,3.0,2.0,2.0,2.0,4.0,498000,63075
S,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Rio Negro,Padrão,165.0,165.0,3.0,2.0,2.0,2.0,3.0,356000,63068
S,Casas,São Carlos,1,Jardim de Cresci,São Paulo,RUA LÁZARO CÂNDIDO FILHO,Padrão,170.35,250.0,3.0,2.0,4.0,4.0,4.0,695001,63049
S,Casas,São Carlos,1,Vila Marcelino,São Paulo,RUA RAIMUNDO CORREA,Condomínio,71.0,120000.0,3.0,2.0,2.0,2.0,4.0,300000,63047
S,Casas,São Carlos,1,Jardim Hikari,São Paulo,RUA CARLOS DEL NERO,Padrão,110.0,250.0,3.0,2.0,2.0,2.0,4.0,350001,63035
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,RUA ANTONIO AURÉLIO MORO,Padrão,90.0,125.0,2.0,2.0,2.0,2.0,3.0,300001,63032
S,Casas,São Carlos,1,Vila Faria,São Paulo,Rua Major José Inácio,Padrão,280.0,330.0,2.0,2.0,4.0,4.0,3.0,580000,63030
S,Casas,São Carlos,1,Vila Costa do Sol,São Paulo,Rua Professor Mozart de Santos Mello,Padrão,149.0,210.0,3.0,1.0,2.0,2.0,3.0,290000,63029
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Rua Orlando de Oliveira,Área de Lazer,111.06,250.0,1.0,1.0,4.0,4.0,1.0,475001,63020
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Avenida Papa Paulo VI,Padrão,250.0,250.0,3.0,2.0,2.0,2.0,4.0,370000,63019
S,Casas,São Carlos,1,MORADA DOS DEUSES,São Paulo,Rua Antônio Carlos Ferraz de Salles,Padrão,106.0,150.0,2.0,2.0,2.0,2.0,3.0,425000,63017
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,51.0,100.0,2.0,2.0,2.0,2.0,3.0,215000,63012
S,Casas,São Carlos,1,Jardim Ricetti,São Paulo,RUA MANOEL PERES DIAS,Padrão,145.0,280.0,3.0,1.0,2.0,2.0,3.0,330000,63000
S,Casas,São Carlos,1,Jardim Hikari,São Paulo,Rua Irmã Hilaria Maria São Luiz,Padrão,202.0,300.0,3.0,2.0,2.0,2.0,4.0,740001,62982
S,Casas,São Carlos,1,Jardim Cardinalli,São Paulo,Rua Irmã Maria São Félix,Padrão,161.43,183.0,3.0,4.0,2.0,2.0,5.0,580000,62972
S,Casas,São Carlos,1,Parque Fehr,São Paulo,Rua Antônio Estrozi,Sobrado,195.0,250.0,4.0,3.0,4.0,4.0,5.0,750000,62956
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,Rua Francisco Possa,Padrão,103.0,150.0,2.0,1.0,2.0,2.0,2.0,349000,62954
S,Casas,São Carlos,1,Núcleo Residencial Silvio Vilari,São Paulo,RUA FRANCISCO MARMORATO,Padrão,60.0,160.6,3.0,1.0,2.0,2.0,3.0,195000,62936
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Jerônimo Costa Terra,Padrão,195.13,250.0,2.0,3.0,3.0,3.0,4.0,495000,62925
S,Casas,São Carlos,1,Condomínio Residencial Quebec,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Sobrado Condomínio,197.67,308.0,4.0,3.0,4.0,4.0,5.0,1000000,62916
S,Casas,São Carlos,1,VILLAGE DAMHA IV,São Paulo,Avenida Brasilino Damha,Condomínio,184.8,288.25,3.0,3.0,2.0,2.0,6.0,1206000,62915
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Avenida Francisco Falvo,Condomínio,172.0,250.0,3.0,2.0,4.0,4.0,4.0,798000,62910
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Avenida Francisco Falvo,Condomínio,172.0,250.0,3.0,2.0,4.0,4.0,4.0,798000,62909
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Avenida Francisco Falvo,Condomínio,172.0,250.0,3.0,2.0,4.0,4.0,4.0,798000,62908
S,Casas,São Carlos,1,CENTRO,São Paulo,RUA MARECHAL DEODORO,Padrão,692.1,692.1,5.0,5.0,0.0,0.0,5.0,1500000,62871
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,Rua Vereador Lucas Perroni Júnior,Padrão,135.0,250.0,3.0,2.0,4.0,4.0,4.0,424000,62856
S,Casas,São Carlos,1,Azulville 2,São Paulo,Rua Antônio Mascaro,Padrão,150.0,170.0,2.0,1.0,2.0,2.0,2.0,290000,62833
S,Casas,São Carlos,1,ROMEU TORTORELLI,São Paulo,RUA ANTONIO PASCHOAL,Padrão,110.0,135.0,2.0,1.0,2.0,2.0,2.0,250000,62829
S,Casas,São Carlos,1,Vila Prado,São Paulo,Rua Itália,Padrão,88.0,115.0,3.0,1.0,0.0,0.0,3.0,150000,62805
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,242.0,446.0,3.0,5.0,4.0,4.0,6.0,1650000,62804
S,Casas,São Carlos,1,CENTRO,São Paulo,RUA AQUIDABAN,Sobrado,150.0,180.0,3.0,2.0,0.0,0.0,4.0,341000,62802
S,Casas,São Carlos,1,Jardim Pacaembu,São Paulo,AV. PACAEMBU,Padrão,59.9,127.8,2.0,2.0,1.0,1.0,2.0,260000,62796
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,RUA EZILIA BUONODONO MOÇO,Padrão,71.75,125.0,2.0,1.0,1.0,1.0,2.0,180000,62790
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Padrão,77.0,77.0,3.0,2.0,2.0,2.0,4.0,350000,62771
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Rua Bahia,Padrão,130.0,125.0,1.0,1.0,1.0,1.0,1.0,300000,62752
S,Casas,São Carlos,1,BELA VISTA,São Paulo,RUA BENTO DO CARMO LARA,Padrão,90.0,175.0,2.0,2.0,2.0,2.0,3.0,341000,62750
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Rua Ayer Nociti,Padrão,205.0,250.0,3.0,3.0,2.0,2.0,4.0,460000,62749
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,70.0,100.0,2.0,2.0,2.0,2.0,3.0,280000,62742
S,Casas,São Carlos,1,Conjunto Habitacional Santa Angelina,São Paulo,Rua Professor João de Camargo Lima,Padrão,137.0,64.0,3.0,2.0,2.0,2.0,4.0,240000,62732
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,Rua Pedro Fernandes Alonso,Padrão,120.0,190.0,3.0,2.0,2.0,2.0,4.0,428000,62726
S,Casas,São Carlos,1,Vila Faria,São Paulo,Rua Francisco Ferreira,Padrão,140.0,242.0,2.0,2.0,2.0,2.0,3.0,635000,62708
