indType,namCategory,namCity,idtCity,namDistrict,namState,namStreet,namSubCategory,Area,Total_area,Bedrooms,Bathrooms,Garages,totalGarages,totalRooms,valSales,idtProperty
S,Casas,São Carlos,1,Jardim das Torres Prolongamento,São Paulo,RUA JOÃO MASCARINI,Padrão,142.0,250.0,3.0,2.0,2.0,2.0,4.0,474000,50612
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua Nestor de Campos,Padrão,100.0,125.0,2.0,1.0,2.0,2.0,2.0,300000,50608
S,Casas,São Carlos,1,Vila Monte Carlo,São Paulo,Avenida Cesare Brigante,Padrão,59.0,270.0,2.0,1.0,6.0,6.0,2.0,280000,50603
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Rua Francisco Marigo,Padrão,400.0,400.0,3.0,3.0,0.0,0.0,4.0,750000,50600
S,Casas,São Carlos,1,Vila Prado,São Paulo,RUA MIGUEL DAMHA,Padrão,129.0,250.0,3.0,2.0,2.0,2.0,3.0,350000,50554
S,Casas,São Carlos,1,Conjunto Habitacional Dom Constantino Amstalden,São Paulo,Rua Monsenhor Lúcio Bordignon,Padrão,40.0,125.0,1.0,1.0,1.0,1.0,1.0,117000,50428
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Av. AVENIDA PEDRO MUSZKAT,Condomínio,143.0,250.0,3.0,1.0,2.0,2.0,4.0,852000,50422
S,Casas,São Carlos,1,Jardim Medeiros,São Paulo,RUA BERNARDO CERRUTTI,Padrão,102.0,138.0,1.0,2.0,2.0,2.0,1.0,205000,50408
S,Casas,São Carlos,1,Jardim das Torres,São Paulo,Rua Doutor Gipsy Garcia Ferreira,Padrão,160.0,250.0,3.0,2.0,2.0,2.0,4.0,463000,50399
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,Avenida Otto Werner Rosel,Padrão,80.0,150.0,2.0,1.0,0.0,0.0,2.0,287000,50389
S,Casas,São Carlos,1,Vila Faria,São Paulo,Rua Major José Inácio,Padrão,160.52,352.0,3.0,2.0,2.0,2.0,4.0,640000,50372
S,Casas,São Carlos,1,Jardim Araucária,São Paulo,Rua Benedito Aparecido dos Santos,Padrão,75.0,200.0,2.0,1.0,1.0,1.0,2.0,200000,50368
S,Casas,São Carlos,1,Vila Boa Vista,São Paulo,Rua Francisco de Oliveira Penteado,Padrão,200.0,298.0,3.0,2.0,2.0,2.0,4.0,480000,50340
S,Casas,São Carlos,1,Parque Fehr,São Paulo,RUA OSÉAS ROCHA RAMALHO,Padrão,275.0,275.0,3.0,2.0,2.0,2.0,4.0,580000,50329
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua Manoel José Serpa,Padrão,300.0,300.0,4.0,2.0,3.0,3.0,5.0,479000,50262
S,Casas,São Carlos,1,Cidade Jardim,São Paulo,Al DOS NARCISOS,Padrão,216.0,216.0,3.0,3.0,2.0,2.0,3.0,350000,50256
S,Casas,São Carlos,1,Parque Faber Castell,São Paulo,OUT DAS AMEIXEIRAS,Condomínio,907.0,907.0,5.0,5.0,4.0,4.0,10.0,3100000,50255
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,RUA ETHIWALDO ALEXANDRE MARTINS,Padrão,66.91,150.0,2.0,1.0,2.0,2.0,2.0,300000,50254
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,Avenida Otto Werner Rosel,Condomínio,40.47,100.0,2.0,1.0,2.0,2.0,2.0,230000,50210
S,Casas,São Carlos,1,Loteamento Social Antenor Garcia,São Paulo,Rua José Geraldo Machado,Padrão,130.0,300.0,3.0,2.0,8.0,8.0,4.0,250000,50171
S,Casas,São Carlos,1,Centro,São Paulo,RUA SETE DE SETEMBRO,Comercial,450.0,500.0,6.0,6.0,3.0,3.0,8.0,636000,50129
S,Casas,São Carlos,1,Jardim Nova São Carlos,São Paulo,Rua Deolindo Raimundo,Padrão,185.0,144.0,3.0,2.0,2.0,2.0,4.0,480000,50123
S,Casas,São Carlos,1,Vila Prado,São Paulo,RUA ANTÔNIO BOTELHO,Padrão,253.65,355.28,3.0,2.0,2.0,2.0,4.0,688000,50122
S,Casas,São Carlos,1,Parque Belvedere,São Paulo,RUA TADAO KAMICADO,Pousada,220.0,741.0,2.0,2.0,2.0,2.0,4.0,535000,50121
S,Casas,São Carlos,1,Conjunto Habitacional Dom Constantino Amstalden,São Paulo,Avenida Cônego Alberico Volpe,Padrão,45.0,45.0,2.0,1.0,0.0,0.0,2.0,78000,50116
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,RUA DOUTOR JOAQUIM RODRIGUES DE SIQUEIRA,Padrão,145.0,205.0,3.0,2.0,2.0,2.0,3.0,270000,50084
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,RUA DESEMBARGADOR JÚLIO FARIA,Comercial,169.0,250.0,3.0,2.0,1.0,1.0,3.0,650000,50083
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua Ambrósio dos Santos,Padrão,120.0,12.0,3.0,2.0,1.0,1.0,4.0,640000,50062
S,Casas,São Carlos,1,Cidade Jardim,São Paulo,Alameda das Azaleias,Padrão,179.0,315.0,2.0,2.0,2.0,2.0,3.0,500000,50022
S,Casas,São Carlos,1,Núcleo Residencial Silvio Vilari,São Paulo,Rua Doutora Regina Pasqualini Gatti,Padrão,104.83,270.0,2.0,1.0,6.0,6.0,2.0,310000,49984
S,Casas,São Carlos,1,Condomínio Residencial Montreal,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Padrão,329.7,516.4,4.0,5.0,4.0,4.0,7.0,2100000,49979
S,Casas,São Carlos,1,RESIDENCIAL ITAMARATI,São Paulo,Rua Winston Monteiro Ricetti,Padrão,226.0,255.0,4.0,4.0,4.0,4.0,6.0,450000,49966
S,Casas,São Carlos,1,Condomínio Residencial Montreal,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Condomínio,522.0,820.01,3.0,2.0,4.0,4.0,4.0,1500000,49937
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Sebastião de Abreu Sampaio,Sobrado,140.0,125.0,3.0,2.0,2.0,2.0,3.0,300000,49934
S,Casas,São Carlos,1,Cidade Jardim,São Paulo,Rua Bernardino Fernandes Nunes,Padrão,180.0,1992.0,2.0,2.0,4.0,4.0,3.0,1280000,49928
