indType,Property_Category,namCondominium,District,Street_name,property_subcategory,numNumber,Built_up_area,Area_total,Bedroom,Bathroom,totalGarages,totalRooms,valSales,latitude,longitude,totalAccess,flgHighlight,Property tax,Condominium,prop_char_95
S,Casas,Condomínio Residencial Quebec,Condomínio Residencial Quebec,Avenida Professora Maria de Cresci Leopoldino,Condomínio,755,270,600,3,5,4,6,1600000,,,200,0,413,804,
S,Apartamentos,Edifício Residencial Antenor Guines,Jardim Macarengo,Rua Jacinto Favoreto,Padrão,394,,54,2,1,1,2,370000,-22.00613,-47.89409,35,0,0,250,
S,Casas,Condomínio Residencial Quebec,Condomínio Residencial Quebec,Avenida Professora Maria de Cresci Leopoldino,Condomínio,755,255,330,3,4,2,4,1400000,,,52,0,0,400,
S,Casas,,Jardim Brasil,RUA TOTÓ LEITE,Padrão,1671,120,270,2,1,2,2,540000,,,9,0,0,,
S,Casas,,Jardim Brasil,RUA TOTÓ LEITE,Padrão,1675,111.2,200,2,1,3,2,460000,,,8,0,0,,
S,Casas,,Jardim Brasil,RUA TOTÓ LEITE,Padrão,1657,108.78,396,3,1,2,3,800000,,,7,0,0,,
S,Casas,,Cidade Aracy,RUA ANÉSIO SILVA,Padrão,156,,250,2,2,2,3,250000,-22.05705,-47.91633,24,0,,,
S,Apartamentos,Edifício Monte Stella,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Padrão,300,,60,2,1,1,2,212000,-22.0048495,-47.9234576,38,0,,200,40
S,Terreno,,Jardim São Carlos,Rua Treze de Maio,Padrão,2751,,1315,,,,,1599000,,,22,0,,,
S,Casas,,Centro,Rua Dona Eliza Botelho Maria Barros,Padrão,246,160,220,3,2,2,4,540000,,,33,0,,,
S,Casas,,Cidade Aracy,Rua Carlos Paschoalino,Padrão,170,64.68,125,2,1,2,2,190000,-22.05922,-47.90179,38,0,22.97,,
S,Casas,,JARDIM REAL,Rua Pascoal Mecca,Padrão,275,168,250,4,2,2,5,290000,-22.00127,-47.87198,14,0,0,,
SL,Comercial,,Jardim Jóckei Club A,Rua Rio Araguaia,Galpão,607,,1100.8,,2,,,1800000,-21.98119,-47.90082,54,0,376.5,,624
S,Apartamentos,Spazio Mont Royal,Distrito Industrial Miguel Abdelnur,Av. DR. HEITOR JOSE REALI,Padrão,1031,,46,2,1,1,2,150000,,,27,0,0,0,46
S,Casas,,Jardim Macarengo,Rua Doutor Orlando Damiano,Padrão,2083,83.6,258,2,1,2,2,500000,-22.0086,-47.89036,18,0,,,
S,Apartamentos,Edifício Parque das Arvores ,Parque Sabará,Rua Doutor Marino Costa Terra,Padrão,370,,57,2,1,1,2,213000,-22.0116,-47.86503,31,0,0,0,
S,Casas,,Vila Costa do Sol,RUA DONA ALEXANDRINA,Padrão,2591,60.75,60.75,1,1,1,1,150000,-22.00273,-47.89017,81,0,0,,
S,Apartamentos,Edifício Monte Nevada ,Vila Irene,Rua Doutor Joaquim Inácio de Moraes,Padrão,260,,45,2,1,1,2,170000,-22.03092,-47.88323,28,0,0,260,45
S,Apartamentos,Edifício Monte Nevada ,Vila Irene,Rua Doutor Joaquim Inácio de Moraes,Padrão,260,,45,2,1,1,2,170000,-22.03092,-47.88323,27,0,0,260,45
S,Casas,Residencial Grand Ville,Planalto Paraíso,Rua Noêmia Sampaio de Souza,Condomínio,55,200.97,338,4,3,2,5,750000,-22.00546,-47.90963,101,0,224.92,0,
S,Comercial,,Jardim Dona Francisca,Rua Martinho Arruda Botelho do Pinhal,Barracão,135,,150,2,2,,2,200000,-22.03085,-47.86631,15,0,,,150
S,Apartamentos,Edifício Itamaracá,Parque Santa Mônica,Avenida Tancredo de Almeida Neves,Padrão,457,,65,2,2,1,3,260000,-22.02074,-47.912,54,0,0,360,65
SL,Casas,Condomínio Village Damha I,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Condomínio,1501,194,323,3,3,4,4,1170000,-21.97934,-47.89713,66,1,120,510,
S,Casas,,Jardim Acapulco,RUA MADRE TEREZA DE CALCUTA,Padrão,152,200,333.48,3,2,2,4,700000,-21.99557,-47.90938,56,0,,,
S,Casas,,VILA BELA VISTA,RUA JOAQUIM DA ROCHA MEDEIROS,Padrão,201,120,150,2,1,2,2,216000,-22.02681,-47.90959,77,0,0,,
S,Apartamentos,Residencial Monte Berlin,Jardim Embaré,Rua Ray Wesley Herrick,Padrão,5441,,,2,1,,2,190000,-21.9751112,-47.9332665,14,0,,260,42
S,Casas,,Jardim Ricetti,RUA TOTÓ LEITE,Padrão,2827,190,320,3,2,4,4,470000,-22.02743,-47.87968,84,0,0,,
S,Casas,,Jardim Embaré,Avenida Clemente Talarico,Padrão,630,200,500,3,3,8,5,590000,-21.96761,-47.94057,90,0,0,,
S,Casas,,Jardim Centenário,Rua Borba Gato,Padrão,238,112.06,165,2,1,1,2,260000,-21.99898,-47.90472,29,0,0,,
S,Terreno,Condomínio Parque Residencial Damha I ,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1000,,443,,,,,700000,-21.96392,-47.89699,38,0,0,580,
S,Casas,,Jardim Jóckei Club A,Rua Rio Paranapanema,Padrão,606,108.4,165,3,3,2,5,450000,-21.97931,-47.90086,30,0,0,,
S,Apartamentos,Spazio Mont Royal,Distrito Industrial Miguel Abdelnur,Av. DR. HEITOR JOSE REALI,Padrão,1031,,56,2,1,1,2,150000,,,12,0,0,0,44
S,Casas,Village Paineiras ,Jardim Nossa Senhora Aparecida,Rua Aristides de Santi,Sobrado Condomínio,6,98.08,193.8,3,2,2,4,500000,-22.02631,-47.8708,59,0,,470,
S,Casas,,Jardim Paulista,Rua Floriano Peixoto,Padrão,122,120,296,2,1,3,2,380000,-22.02107,-47.89919,18,0,0,,
S,Casas,,Jardim Veneza,Rua Nelcio Torresam,Padrão,35,140,208,2,1,2,2,385000,-22.00821,-47.85844,28,0,0,,
S,Comercial,,CENTRO,RUA GENERAL OSÓRIO,Prédio,767,,256.4,,1,,,3195000,-22.02149,-47.89196,23,0,0,,583.81
SL,Comercial,,CENTRO,RUA RIACHUELO,Salão,662,,360,,3,6,,1400000,-22.01654,-47.89563,144,0,,,250
S,Apartamentos,Residencial Villa Real,Jardim Paraíso,Rua Princesa Isabel,Padrão,234,,67,2,2,2,3,553871,-22.0104151,-47.8989913,33,0,,0,67
S,Apartamentos,Residencial Villa Real,Jardim Paraíso,Rua Princesa Isabel,Padrão,234,,67,2,2,2,3,543871,-22.0104151,-47.8989913,19,0,,0,67
