indType,Property_category,District,Street_name,Property_subcategory,numNumber,Built_uparea,Area_total,Bedroom,Bathroom,Grages,totalRooms,valLocation,latitude,longitude,totalAccess,flgHighlight,prop_char_95,Property_tax
L,Comercial,CENTRO,AV. DOUTOR CARLOS BOTELHO,Sala,2173,,100,,1,,,5540,-22.01126,-47.88941,98,0,100,150
SL,Apartamentos,Romeu Santini,Rua Aurea Jorge Vanelli,Padrão,1,,55,2,1,1,2,667,,,159,0,55,21
L,Casas,Jardim Jóckei Club A,Rua Rio Araguaia,Comercial,336,200,210,2,4,,2,2700,-21.98357,-47.89934,37,0,,21
L,Casas,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1455,75,75,2,1,1,2,945,-21.98484,-47.93834,645,0,,20
L,Comercial,Jardim Jóckei Club A,Rua Rio Araguaia,Barracão,336,,150,,3,,,2300,-21.98357,-47.89934,28,0,150,21
L,Casas,Jardim Jóckei Club A,Rua Rio Araguaia,Padrão,336,50,60,2,1,,2,889,-21.98357,-47.89934,152,0,,21
L,Casas,Jardim Centenário,RUA JORGE TIBIRIÇÁ,Padrão,105,180,250,2,2,2,3,1990,-21.99964,-47.90624,178,0,,84
SL,Casas,Jardim do Bosque,Luiz Gonzaga Grande Junior,Área de Lazer,137,70,253,1,1,6,1,1667,,,47,1,,
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,50,2,1,1,2,2400,-22.01498,-47.91203,120,0,50,
L,Apartamentos,Chácara Parollo,RUA SÃO SEBASTIÃO,Padrão,880,,92,2,2,2,3,5000,-22.01346,-47.90159,63,0,92,
L,Apartamentos,Centreville,Rua José Rodrigues Sampaio,Padrão,777,,109,3,3,1,4,3334,-22.0251349,-47.8821328,108,0,109,410
L,Apartamentos,Parque Fehr,Servidão de Passagem João Deriggi,Padrão,181,,54.62,2,1,1,2,1334,,,177,0,54.62,49
L,Casas,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Condomínio,1501,300,250,4,4,2,5,6667,-21.97934,-47.89713,55,0,,
L,Casas,Condomínio Residencial Quebec,Avenida Professora Maria de Cresci Leopoldino,Condomínio,755,250,477.52,3,3,2,5,5000,,,100,0,,172.73
L,Comercial,CENTRO,Rua Quinze de Novembro,Sala,1811,,90,,1,,,3890,-22.0122151,-47.8930924,103,0,90,130
L,Casas,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1455,75,75,2,1,1,2,889,-21.98484,-47.93834,375,0,,
